File_Name,Identifier,page_number,Figure_present,Section
Chesterman_Rupturs_p04.jpg,004,4,N,The causes of ruptures
Chesterman_Rupturs_p05.jpg,005,5,N,The various kinds of ruptures
Chesterman_Rupturs_p06.jpg,006,6,N,The various kinds of ruptures
Chesterman_Rupturs_p07.jpg,007,7,N,The various kinds of ruptures
Chesterman_Rupturs_p08.jpg,008,8,N,The various kinds of ruptures
Chesterman_Rupturs_p09.jpg,009,9,N,The various kinds of ruptures
Chesterman_Rupturs_p10.jpg,010,10,N,The various kinds of ruptures
Chesterman_Rupturs_p11.jpg,011,11,N,The various kinds of ruptures
Chesterman_Rupturs_p12.jpg,012,12,N,Truses
Chesterman_Rupturs_p13.jpg,013,13,Y,Truses
Chesterman_Rupturs_p14.jpg,014,14,N,Truses
Chesterman_Rupturs_p15.jpg,015,15,Y,Truses
Chesterman_Rupturs_p16.jpg,016,16,N,Truses
Chesterman_Rupturs_p17.jpg,017,17,Y,Truses
Chesterman_Rupturs_p18.jpg,018,18,Y,Truses
Chesterman_Rupturs_p19.jpg,019,19,N,Truses
Chesterman_Rupturs_p20.jpg,020,20,Y,Truses
Chesterman_Rupturs_p21.jpg,021,21,Y,Truses
Chesterman_Rupturs_p22.jpg,022,22,N,Truses
Chesterman_Rupturs_p23.jpg,023,23,Y,Truses
Chesterman_Rupturs_p24.jpg,024,24,Y,Truses
Chesterman_Rupturs_p25.jpg,025,25,Y,Truses
Chesterman_Rupturs_p26.jpg,026,26,N,Truses
Chesterman_Rupturs_p27.jpg,027,27,Y,Truses
Chesterman_Rupturs_p28.jpg,028,28,N,Truses

